Brain network by Wahbi
625.0	625.0	625.0	box dimensions in microns
25	25	25	number of tissue points in x,y,z directions
100.	outer bound distance
100.	max. segment length
5	nodsegm, max. allowed number of segments per node
2621	total number of segments
name	type	from	to	diam.	rel. flow	hem.
1	5	1	528	7.3701	0.9031575598380132	0.45
2	5	2	999	6.88862	0.4197348044637619	0.45
3	5	2	1235	6.2077800000000005	1.2205650185612722	0.45
4	5	3	1814	6.64832	2.224536418599025	0.45
5	5	4	1857	6.708139999999999	0.8132848385651421	0.45
6	5	5	2010	7.6288599999999995	3.034222079087186	0.45
7	5	6	724	3.97624	0.009473535133602086	0.45
8	5	7	1419	6.38344	2.583488721325032	0.45
9	5	8	120	6.1551	1.171528189574253	0.45
10	5	8	560	7.31922	1.6535650259944497	0.45
11	5	9	548	7.82426	0.14515105827861288	0.45
12	5	9	1277	6.09054	0.9365064357175875	0.45
13	5	10	325	5.741820000000001	2.0510238341561102	0.45
14	5	11	953	4.791060000000001	0.0684056597254358	0.45
15	5	11	1457	6.55552	0.8824734579366449	0.45
16	5	12	1118	7.32512	0.401525589798241	0.45
17	5	13	370	7.69926	0.2518275396794626	0.45
18	5	13	1767	5.5953800000000005	0.4252584462046009	0.45
19	5	14	369	9.7903	0.6303005111630102	0.45
20	5	15	1470	5.43102	1.369983094620846	0.45
21	5	16	650	7.925720000000001	1.1527372711203494	0.45
22	5	17	387	8.39514	1.3585269934931279	0.45
23	5	18	1439	7.52184	0.5991967501435207	0.45
24	5	18	1965	5.86474	0.13352843951581936	0.45
25	5	19	1255	6.4431199999999995	6.045820449066842	0.45
26	5	20	1104	7.840280000000001	0.2845332050876506	0.45
27	5	20	1801	8.70016	2.785849457485157	0.45
28	5	21	449	5.870760000000001	3.2730457199343674	0.45
29	5	22	389	6.160679999999999	5.83160823238153	0.45
30	5	23	1364	4.65244	0.6691678043887832	0.45
31	5	23	1636	6.2736	1.4909861282584687	0.45
32	5	24	198	7.04058	0.9787506927581261	0.45
33	5	24	300	7.073720000000001	0.17455007474542775	0.45
34	5	25	359	4.634659999999999	0.9455154263331509	0.45
35	5	25	1339	7.37618	3.6550863573958607	0.45
36	5	26	809	7.1303	2.12369858656346	0.45
37	5	26	1074	4.6038	0.26943293138999136	0.45
38	5	27	1041	5.7412600000000005	0.18302792693225578	0.45
39	5	27	1527	7.09516	0.7922616620671077	0.45
40	5	28	182	3.76072	0.01421649475525608	0.45
41	5	28	1039	4.7695	0.04851328823647641	0.45
42	5	29	1207	6.715879999999999	2.5698806213043572	0.45
43	5	29	1250	7.640300000000001	0.07265938596720746	0.45
44	5	30	1096	5.54446	3.615035675839127	0.45
45	5	30	1097	4.8728	1.0310770475768696	0.45
46	5	31	168	5.77216	1.1010796237135028	0.45
47	5	31	1385	8.873579999999999	0.1815380091242297	0.45
48	5	32	373	5.79848	0.6612915728371076	0.45
49	5	33	1676	4.6181	0.8205906270704005	0.45
50	5	34	508	5.69784	0.07860981331211525	0.45
51	5	34	695	7.16694	2.774060147825406	0.45
52	5	35	765	5.64644	0.05238037358766474	0.45
53	5	35	1846	6.05036	0.08297368993701625	0.45
54	5	36	302	5.57914	0.4444785174744126	0.45
55	5	37	468	6.87468	4.02001924762285	0.45
56	5	38	862	7.9688799999999995	2.444910785177434	0.45
57	5	39	385	7.22764	4.356698569309249	0.45
58	5	40	1822	7.514460000000001	1.6019595464126535	0.45
59	5	41	103	5.12564	0.1209471994621604	0.45
60	5	41	1441	6.2838199999999995	0.06417914297465144	0.45
61	5	42	413	5.288659999999999	1.4139113211543646	0.45
62	5	43	770	4.330220000000001	0.8230820573035282	0.45
63	5	43	1787	4.32622	0.331469807639921	0.45
64	5	44	906	6.59594	0.2987383345815158	0.45
65	5	45	405	5.82116	0.009440707777461364	0.45
66	5	46	1632	6.10656	0.928970473755483	0.45
67	5	47	739	7.42762	2.8696217082703304	0.45
68	5	48	1380	5.9164200000000005	0.37438994789618535	0.45
69	5	49	261	6.7936	0.04574799643805633	0.45
70	5	50	366	7.06668	3.3563797530235493	0.45
71	5	50	516	7.6609	0.3290274933545135	0.45
72	5	51	676	6.116619999999999	3.346031163682878	0.45
73	5	52	714	5.871499999999999	1.9910622214264129	0.45
74	5	52	1323	6.41388	0.23564641005626752	0.45
75	5	53	119	7.5571	2.4559131578397766	0.45
76	5	54	1619	6.23778	5.871010846004248	0.45
77	5	55	694	8.67516	1.008817604778056	0.45
78	5	55	1329	6.94538	1.0165014000571195	0.45
79	5	56	475	5.722300000000001	0.4943293996284438	0.45
80	5	57	408	6.47298	2.2837836992836222	0.45
81	5	58	122	3.26082	0.007457093530767733	0.45
82	5	59	1877	4.68454	0.005616449706393735	0.45
83	5	60	1609	5.599900000000001	0.35394625498359705	0.45
84	5	61	1684	5.64842	0.34619963016171107	0.45
85	5	62	1271	8.18414	3.0302670359615647	0.45
86	5	63	1286	5.15922	0.08492718114498464	0.45
87	5	64	427	6.1281	0.269512664597756	0.45
88	5	65	1448	8.169580000000002	0.6034430568760455	0.45
89	5	66	691	4.427440000000001	0.9675405129268276	0.45
90	5	67	985	7.80002	1.221112427110353	0.45
91	5	68	541	3.50958	0.31559946289063434	0.45
92	5	69	1670	7.7903	2.174278812649834	0.45
93	5	70	722	5.33022	0.07805759663390285	0.45
94	5	70	723	5.78372	0.011902064745390984	0.45
95	5	71	1824	7.646119999999999	0.2508964641992288	0.45
96	5	72	597	7.70114	1.731049748331363	0.45
97	5	72	788	4.85198	0.7425375766359784	0.45
98	5	73	830	8.29954	0.8196071503149543	0.45
99	5	74	1018	8.21704	4.608934425790157	0.45
100	5	74	1053	5.29202	1.1912795275024006	0.45
101	5	75	660	7.62252	0.13506485574356053	0.45
102	5	76	1407	7.2586	3.5045990790479045	0.45
103	5	77	1775	8.66478	1.2450817292354763	0.45
104	5	78	736	6.98662	2.032902602512681	0.45
105	5	78	1371	4.68332	0.5841857478481927	0.45
106	5	79	1868	5.023199999999999	0.05215637783942842	0.45
107	5	80	538	5.95082	1.0219749234742803	0.45
108	5	81	621	6.20594	0.6734506307577459	0.45
109	5	81	641	2.6226800000000003	0.0012538901192329834	0.45
110	5	82	1524	4.3041	0.05658876191668222	0.45
111	5	82	1610	7.46894	0.7567383780061334	0.45
112	5	83	1441	5.11718	0.47590858954240056	0.45
113	5	84	938	5.8975800000000005	7.280406449972888	0.45
114	5	85	1993	7.283799999999999	2.326993365151913	0.45
115	5	86	2011	6.07848	5.399765725838728	0.45
116	5	87	261	5.864199999999999	2.0235480427516186	0.45
117	5	87	1776	6.87596	2.5976885122913087	0.45
118	5	88	35	6.77922	0.13535406352466017	0.45
119	5	89	785	5.50312	1.506196219327776	0.45
120	5	89	787	6.193639999999999	0.09362217805923286	0.45
121	5	90	1348	7.1265600000000004	1.8858900616601046	0.45
122	5	91	1629	4.41722	0.47165586841944096	0.45
123	5	91	1630	5.1962600000000005	0.8107227555557491	0.45
124	5	92	346	6.434240000000001	1.877363845168109	0.45
125	5	93	681	7.646119999999999	0.25089646419941636	0.45
126	5	94	113	7.84134	0.386767727189398	0.45
127	5	94	1206	7.39118	0.27942309663319065	0.45
128	5	95	910	6.40914	0.8533468382192089	0.45
129	5	95	1857	5.75952	2.2933556132425577	0.45
130	5	96	331	7.2425	2.4918223221190265	0.45
131	5	97	523	6.818420000000001	2.090408274658835	0.45
132	5	97	1279	5.82808	1.0816574939961945	0.45
133	5	98	459	6.1397200000000005	2.7759006345479422	0.45
134	5	99	138	4.7014000000000005	0.032039758599376	0.45
135	5	100	989	6.35866	0.21067007627466183	0.45
136	5	100	1129	7.8897	0.4437002031743939	0.45
137	5	101	1789	6.12866	0.40270537319168487	0.45
138	5	102	1856	7.12514	7.165351706266841	0.45
139	5	103	863	5.12564	0.12094719946214962	0.45
140	5	104	1992	4.7233	1.4074902676777785	0.45
141	5	105	849	7.09098	0.8802402447375021	0.45
142	5	106	203	5.80146	0.2116725722025735	0.45
143	5	107	443	6.708200000000001	0.8228565283516006	0.45
144	5	107	659	5.8502600000000005	0.061763783742896844	0.45
145	5	108	81	6.95406	0.67470452087697	0.45
146	5	108	1514	5.712	1.4909455400247253	0.45
147	5	109	1526	8.67986	1.1352131017054667	0.45
148	5	110	1504	3.4795599999999998	0.09165755229101219	0.45
149	5	110	1567	7.13828	0.9206135490145501	0.45
150	5	111	587	7.85976	0.48186383870154015	0.45
151	5	111	1309	6.55912	0.02854540865252185	0.45
152	5	112	962	6.8104000000000005	1.5138366008094586	0.45
153	5	112	963	4.15846	0.21152155339055376	0.45
154	5	113	1206	6.37972	0.11231000735157834	0.45
155	5	113	1207	7.79632	0.2744577198377492	0.45
156	5	114	705	6.7311	2.6511569334145633	0.45
157	5	115	1774	5.1776	0.7966139820346362	0.45
158	5	115	1871	5.48486	0.39022067129615945	0.45
159	5	116	274	5.68728	0.7664554779507959	0.45
160	5	117	1243	7.9539800000000005	1.110684632989679	0.45
161	5	118	1080	6.463	1.3911358899203055	0.45
162	5	119	302	4.26218	1.1174493157328713	0.45
163	5	119	1079	5.325	1.3384638421068964	0.45
164	5	120	1734	7.03692	0.8765301442522885	0.45
165	5	120	1735	5.68714	0.2949980453217812	0.45
166	5	121	869	6.54918	0.050651187779407414	0.45
167	5	121	1036	4.7048000000000005	0.10687471289410369	0.45
168	5	122	565	5.919980000000001	0.13269954352446833	0.45
169	5	123	63	5.15922	0.08492718114498381	0.45
170	5	123	148	7.95348	3.542589174968089	0.45
171	5	124	839	6.70168	1.69226160989955	0.45
172	5	124	1486	9.246799999999999	5.874091443031803	0.45
173	5	125	1006	5.93762	0.7380203908558094	0.45
174	5	126	889	6.75608	1.3137012862779625	0.45
175	5	127	191	5.41004	2.2249224434919923	0.45
176	5	128	1365	6.98188	1.8488371154379437	0.45
177	5	129	1588	5.297000000000001	0.017123830395386952	0.45
178	5	130	794	7.9566799999999995	1.0710599245493184	0.45
179	5	131	1031	5.8334	2.2030607949971905	0.45
180	5	131	1032	6.05082	3.1542916303499133	0.45
181	5	131	1033	5.1081	1.143224538957815	0.45
182	5	132	154	7.09782	0.40215243366929476	0.45
183	5	132	264	1.9369079999999999	0.0015433410984679674	0.45
184	5	133	43	6.1814800000000005	1.1545518649434534	0.45
