Brain network of an arteriole column
375	375	1500	box dimensions in microns
25	25	100	number of tissue points in x,y,z directions
100.	outer bound distance
100.	max. segment length
5	nodsegm, max. allowed number of segments per node
2277	total number of segments
name	type	from	to	diam.	rel. flow	hem.
1	5	1	361	7.523420000000001	0.7163616149476046	0.45
2	5	2	426	6.2077800000000005	0.27345886479908255	0.45
3	5	3	91	5.815099999999999	0.038581661797959375	0.45
4	5	4	293	6.39576	0.24995898728400553	0.45
5	5	4	337	7.6288599999999995	1.6618624931173558	0.45
6	5	5	11	6.1551	3.5789948152935978	0.45
7	5	5	318	7.31922	3.4043895988317225	0.45
8	5	5	389	6.66898	1.9775785296213853	0.45
9	5	6	78	9.6419	0.7809303057452294	0.45
10	5	7	109	4.22548	0.02184392180185411	0.45
11	5	8	268	6.95406	0.10055517143666087	0.45
12	5	9	394	6.09054	0.09184887799050512	0.45
13	5	9	443	5.82808	0.23729500919224736	0.45
14	5	10	246	6.766	0.5058691004296336	0.45
15	5	10	416	5.8167	0.8725390942580954	0.45
16	5	11	95	4.791060000000001	0.031017407755868552	0.45
17	5	11	399	7.398680000000001	3.54797740753773	0.45
18	5	12	159	7.65748	0.6901483485161266	0.45
19	5	13	376	6.55552	0.23099794512485408	0.45
20	5	13	378	5.14978	0.3163269586201395	0.45
21	5	14	359	7.69926	0.07328154511320151	0.45
22	5	14	393	5.7677	0.09472592336778655	0.45
23	5	15	99	5.5953800000000005	0.022244882112660055	0.45
24	5	15	407	4.22278	0.07932329006704733	0.45
25	5	16	62	6.2211	0.10895721251014194	0.45
26	5	16	68	7.925720000000001	0.15191496485732733	0.45
27	5	17	174	7.48156	0.7630119279258847	0.45
28	5	18	423	5.86474	0.8216350486561423	0.45
29	5	19	44	6.77922	0.6175051373174716	0.45
30	5	20	136	6.4431199999999995	2.520976226074807	0.45
31	5	20	367	7.30922	3.0130374702926574	0.45
32	5	21	56	5.819	0.0634393723977078	0.45
33	5	22	74	5.80756	0.6949883544725487	0.45
34	5	23	36	6.966200000000001	1.0147903017408033	0.45
35	5	24	164	5.88962	0.06630066490245282	0.45
36	5	24	334	5.73352	0.1264785833801239	0.45
37	5	25	48	8.70016	0.10648417000464439	0.45
38	5	26	312	6.55876	0.35883756571407066	0.45
39	5	27	45	6.2736	0.11764153550738306	0.45
40	5	28	94	5.35426	0.017386285708577295	0.45
41	5	29	16	7.21652	0.2608721773674692	0.45
42	5	29	93	7.073720000000001	0.04765169808434121	0.45
43	5	30	141	7.1303	0.5726948700494747	0.45
44	5	31	303	7.09516	0.09769387893191601	0.45
